,LUMO,HOMO,LOGP,SSA,cyto
314,1.0368326159748729,-0.43718702349701416,-2.497159526226082,-0.8574392445003161,0
315,-2.4082615462048804,0.19225445376915534,1.6276420466402164,-1.8193215196601096,1
316,-0.4380019867433194,-0.16611560193889885,-0.7231867566642549,-1.2617677584342086,0
317,1.7853784659811862,-0.06349750299239369,-0.8060789252045604,1.7146289426013395,0
318,0.14519602900719897,0.2723664353561374,1.3411503497800041,1.4242288092564566,1
319,-0.7532157366873148,-0.19797805349648753,-0.7991938214394319,-1.7638912171126782,0
320,0.5454321514305157,0.1482206107387561,0.6033459598745159,1.2997862779474771,1
321,-2.137231340540181,0.24843607453895658,1.8388980141589828,-1.2543232503514579,1
322,0.8533366693595227,0.012196095804552746,-0.16962509884910326,1.0164784394237907,1
323,-0.0177920618508744,0.13117567971850155,0.6697094001661505,0.587242350036645,1
324,1.300904322966271,-0.187163653282642,-1.3014999743537365,0.5970927718550254,0
325,-2.108147839244583,0.562513117466431,3.4229570622418923,0.23237016318436998,1
326,-0.3836483674235573,-0.19368659743882438,-0.8776763722520361,-1.3282549169178917,0
327,0.6939227309765624,0.15660202083773347,0.6055546380818495,1.505641245300596,1
328,-2.8156095990498593,0.3478364644805022,2.5267144165982156,-1.557350782116722,1
329,-2.682748713949303,0.0012295554337555014,0.73385008564592,-3.01244626600277,1
330,1.2855105979642147,-0.17940599081331607,-1.2580039839691144,0.6156875369703865,0
331,-1.2323919425375363,-0.02964955016324275,0.18396738511040223,-1.5237203504667727,1
332,0.5248580545602091,-0.20168731270491247,-1.1646352675206544,-0.343207758053343,0
333,0.9141551109614507,0.04056611963672314,-0.042322573225040294,1.2162351271317289,1
334,1.050162977101837,-0.296866693366519,-1.789540135077163,-0.19284980619971548,0
335,1.2745017690161444,0.03787542012655322,-0.1536943871267693,1.609175095694272,0
336,-0.03196733519802485,0.21201667334321792,1.083308864081357,0.9455365429939787,1
337,0.7811878144956139,-0.21075681614132002,-1.28012744480221,-0.09681832856614492,0
338,1.1446665705822356,-0.2658094412809604,-1.6577531076131233,0.05724338733223333,0
339,1.1371025309102496,-0.3561855501505561,-2.1137865895562067,-0.3696493343952385,0
340,0.05031468350185906,0.2461013586518533,1.2337556440179458,1.195895316941156,1
341,1.1389573371805453,-0.29429145316539645,-1.8005700384451218,-0.08103292838836951,0
342,-0.4294611394735428,-0.09876468655966164,-0.3841248892759568,-0.9403678947796232,1
343,-1.5912605760825778,0.21259624014182352,1.5091596214604497,-0.8060120756734701,1
344,0.8937671367401048,-0.23547618515188554,-1.4359551949571374,-0.08459938269764822,0
345,-0.25506295632274445,0.2745925356734545,1.4609923351717895,0.9842359936183991,1
346,-0.18537999756299264,0.26455952565010377,1.3912390183048169,1.0161841571089911,1
347,-1.0794495841248453,-0.20756288445440502,-0.7592945066515906,-2.175281471034145,0
